Datetime,Username,Tranlsated_Tweets,Location,Cleaned_Tweets
2022-12-06 12:30:53+00:00,POLSEK_PUDI,The North Kelumpang Polsek implemented a vigorous pricing to find out if the price of a tree or not. https://t.co/9jzcv6nk4u,,north kelumpang polsek implemented vigorous pricing find price tree
2022-12-05 03:51:11+00:00,insansesucialam,@Rifdiamri I refer to Lotus Giant or Aeon .... Mydin used to be reasonable price but since C19 the price seems to be rising .... I will go to Mydin if there is a promo I want and use the other day,"Damansara,Selangor",refer lotus giant aeon mydin used reasonable price since c price seems rising go mydin promo want use day
2022-12-04 04:35:29+00:00,Fitri_Nizam,Go to the market to see the price of fish go up. When he wants to raise his salary. want to be happy family buy wet stuff without approximately🥲,Malaysia,go market see price fish go want raise salary want happy family buy wet stuff without approximately
2022-12-03 01:25:03+00:00,user5060708090,"I don't care about this country's problem .. I don't want bad economy, rising cost of living, widespread corruption, prices of goods rise .. all of these will effect future generations including me .. (2/3)",Pakatan Harapan,dont care country problem dont want bad economy rising cost living widespread corruption price good rise effect future generation including
2022-12-02 04:12:12+00:00,anakcikran,Tkde masok kt where the pounds went up the price of this item. Once shopping bt it seems like we want to faint,"Mersing, Johor",tkde masok kt pound went price item shopping bt seems like want faint
2022-12-01 07:02:51+00:00,mosyukiborhan,"You also have the beginning of December with a message from the supplier, the price of goods rises as there is a 'sugar tax'.

The sugarcane farm in Malaysia is gone? Or is anyone playing motorcycle cross with those cane trees? 😭",KL / Tangkak / Solo,also beginning december message supplier price good rise sugar tax sugarcane farm malaysia gone anyone playing motorcycle cross cane tree
2022-12-01 02:39:02+00:00,EncheMz,Another MP that I hope is not really Minister is Alex Nanta Linggi. Before this dock in the cabinet became a flower pot. The price of goods goes up and what it does. 🤷🏼‍♀️,Somewhere in between,another mp hope really minister alex nanta linggi dock cabinet became flower pot price good go
2022-11-27 08:07:33+00:00,jaksrmd,"The current priority of DSAI is to address rising cost of living, rising prices of goods, even though the government's cabinet has not been formed.

Obviously DSAI does not want his mind to be disturbed by the traitor's movement that is planning to overthrow the unity government",Selangor,current priority dsai address rising cost living rising price good even though government cabinet formed obviously dsai want mind disturbed traitor movement planning overthrow unity government
2022-11-27 07:28:08+00:00,jaksrmd,"Obviously the cost of living costs, rising prices of goods is a priority for Anwar Ibrahim as soon as he has been appointed PM.

Although the cabinet line has not been formed, he works with staff from the relevant ministries in addressing the issue.",Selangor,obviously cost living cost rising price good priority anwar ibrahim soon appointed pm although cabinet line formed work staff relevant ministry addressing issue
2022-11-25 14:19:03+00:00,Shirafahmi,Try not the price of bakery kt shopee. Heart attack. Many go up especially flour with margarine. Nutella pounds up 😢. Next Saturday I'll open the order. But he wants to review the price 😔,"Kuala Lumpur, Wilayah Persekut",try price bakery kt shopee heart attack many go especially flour margarine nutella pound next saturday ill open order want review price
2022-11-24 05:49:46+00:00,LaLaLiSa2022,Congratulations PH WIN! All I know is that next year the price of goods is down and the currency goes up.,Malaysia,congratulation ph win know next year price good currency go
2022-11-22 15:46:10+00:00,AfilSyazwan,"Not enough headaches with expensive daily necessities, monthly payments as due to OPR, and other things that hurt the brain, Apple Music subscription prices rose RM2.

🤦🏻‍♂️ https://t.co/hxoyrkcaiw","Shah Alam, Malaysia",enough headache expensive daily necessity monthly payment due opr thing hurt brain apple music subscription price rose rm
2022-11-22 12:09:25+00:00,ShknJmluddn,"Here we realize that the price of the goods is rising, urghhh!",,realize price good rising urghhh
2022-11-22 05:44:51+00:00,mfjfazley,"Review of votes18..but people don't even know about cost of living, rising prices, interest rates etc etc",,review votesbut people dont even know cost living rising price interest rate etc etc
2022-11-22 04:56:09+00:00,Thehulkey,My timeline is never over the party. That's it. Not tired of getting bored to .. post a little entertaining. I'm kind of happy when anyone goes up. As the price of goods will not go down. From the beginning. It's been 30 years since I've been changing.,Kuala Lumpur,timeline never party thats tired getting bored post little entertaining im kind happy anyone go price good go beginning year since ive changing
2022-11-21 23:38:49+00:00,Yunk_G,"That's why the country is punished, the Islamic State says. With the people once in a while. Don't complain about the price of goods, pay x, xda eggs. Because you also support the Songlap foot leader","Kota Kinabalu, Sabah",thats country punished islamic state say people dont complain price good pay x xda egg also support songlap foot leader
2022-11-21 14:17:14+00:00,CikShamsulPSRTM,It doesn't matter who to be the Prime Minister ... the most important of the Malaysian People's Aid (BR1M) @ Family Aid Malaysia (BKM) must continue when the Malaysian M40/B40 (marriage/single) is affected by the high cost of living and rising prices of goods and High inflation.,"HULU KELANG,KL,MALAYSIA",doesnt matter prime minister important malaysian people aid brm family aid malaysia bkm must continue malaysian mb marriagesingle affected high cost living rising price good high inflation
2022-11-21 10:27:51+00:00,Moonmoon154,Nunda bought 4 wishlist items because they want to rise prices 🙂👍,around the world,nunda bought wishlist item want rise price
2022-11-21 05:17:27+00:00,shaalizan_,@wwdzrr so do I. A leader who can ensure our future is not contributed. The price of goods is rising and expensive. Blah blah,"Selangor, Malaysia",leader ensure future contributed price good rising expensive blah blah
2022-11-21 03:10:07+00:00,Thehulkey,"You chat for 10 years you've been in business. The style of 30 has a way. Just 18-20 start to vote. You have a huddle that the price of goods goes up, the promise of life is defended. This is a stupid deck, when school tells you to learn your economy. Kan Bengap .. We're in business.",Kuala Lumpur,chat year youve business style way start vote huddle price good go promise life defended stupid deck school tell learn economy kan bengap business
2022-11-21 02:02:42+00:00,afiann,"If you win, this is another story. The price of the goods goes up, the egg is gone. But what is the action? Quiet. It's a little disappointed to remember the function 😥🥲",Malaysia,win another story price good go egg gone action quiet little disappointed remember function
2022-11-20 22:52:53+00:00,Ashrxxf,@Brgsjks Baby Boys Where Does It Feel The Price Of Items !! Demon 🖕🏻,68100,baby boy feel price item demon
2022-11-20 18:00:35+00:00,equeen_esmae,"Oh God when people want to have this kind of consciousness. This life is based on help? Let's help. We want the price of reasonable goods with a salary increase. Cheap home to, cheap education, better public transport & amp; Like more without help","Kuala Terengganu, Terengganu",oh god people want kind consciousness life based help let help want price reasonable good salary increase cheap home cheap education better public transport amp like without help
2022-11-20 13:08:12+00:00,iqbalibrhim,These all the rich Malay gangs of the Investinusd gang can be made to make the price of the price go up,,rich malay gang investinusd gang made make price price go
2022-11-20 10:26:52+00:00,mirayin18,@amiraatiya that's about it. One of the signs of our country in corruption is the price of goods. I feel like I have to cheat again even though PH dh won a big block. Abg Jo ni pulak gi accepted the person who despised his party. Stupid,Putrajaya,thats one sign country corruption price good feel like cheat even though ph dh big block abg jo ni pulak gi accepted person despised party stupid
2022-11-20 03:24:53+00:00,mujuk_,@sri_mmuslim hahahahaha yes kak right but at least there is an economic progress rising because good government policy is the price of goods and it is rising 😣😣,"Lahad Datu, Sabah",hahahahaha yes kak right least economic progress rising good government policy price good rising
2022-11-20 02:28:00+00:00,lisa_aiman36,@thegagapboi sometimes the approach for this older person is different from young people. Old people ask for simple about climate change but more into why prices of goods go up or see x at https://t.co/iu3abaaq5i in things I feel like starting to look into tiktok. From Tok Mak all the way there,Malaysia,sometimes approach older person different young people old people ask simple climate change price good go see x thing feel like starting look tiktok tok mak way
2022-11-20 01:43:20+00:00,HishamSohor,"@Benadamicexcp @syedakramin @_abcdeatactive_ thousands of dollars in terms of language in terms of RM 35,000, RM 50,000 have a closed company, Jobless mcm pay for car installments. Pay home installments, fixed bills payments, with the cost of essential goods rising so think about the misery of the soul.",,thousand dollar term language term rm rm closed company jobless mcm pay car installment pay home installment fixed bill payment cost essential good rising think misery soul
2022-11-20 00:51:15+00:00,Harith_Ramli,I want a government that can work. I do not want the price to rise to the relevant minister for the answer not to use it. It's okay to be a minister. Please appoint the right minister.,"Gong Badak, Kuala Terengganu",want government work want price rise relevant minister answer use okay minister please appoint right minister
2022-11-19 19:25:45+00:00,fatinshirazali,"Not surprise at all. Back to square one. As long as the fate of the Malay Isle is defended. The price of goods goes up, the OPR goes up everything goes up, the origin of the non -Chinese money. Whereas the Malay leaders themselves made the trash.",Ashraff heart,surprise back square one long fate malay isle defended price good go opr go everything go origin non chinese money whereas malay leader made trash
2022-11-19 16:28:15+00:00,FitriNizamuddin,"@arxxxxmand really honestly I have been here for 10 years, no change, progress, but prices of goods go up cm fxk, tk with the advanced Kelantan progress rate. Be sure to fight for a snake, vote buley bngsat",,really honestly year change progress price good go cm fxk tk advanced kelantan progress rate sure fight snake vote buley bngsat
2022-11-19 14:26:43+00:00,yushairieyusoff,"Who likes low salary work, prices of goods, kleptocracy and high corruption levels in order to defend Islam and the Malays, their (villagers/village villages) have voted bee or fish. InshaAllah RM5 = USD $ 1. #PRU15Kitajagakita","Kajang, Selangor",like low salary work price good kleptocracy high corruption level order defend islam malay villagersvillage village voted bee fish inshaallah rm usd
2022-11-18 03:11:24+00:00,TonyLWL1981,"Read this comment, and sign the petition. In order to continue living after lack of pandemic income and rising prices of goods, my EPF production is my last hope not to be a victim of money borrowers. Accept ... https://t.co/vb4yrd5wka via @changeorg_my",Kuala Lumpur Federal Territory,read comment sign petition order continue living lack pandemic income rising price good epf production last hope victim money borrower accept via
2022-11-14 23:07:25+00:00,SofiuddinHafiz,"One je la. I think the pH can be mandated. Of course the world's inflation is getting worse, the price of goods is rising. You answer what Matt nnti is. What are you doing?","Kuantan, Pahang",one je la think ph mandated course world inflation getting worse price good rising answer matt nnti
2022-11-14 09:44:28+00:00,luq_hakim666,"@The_mamu is the price before people rise, when the price for your 1500 payroll. You politics have to do with the price of goods, you are not politics to copy money, control the intrest rate. The bank that controls this thing you can do. Xpayh bad people are good people show what solution",,price people rise price payroll politics price good politics copy money control intrest rate bank control thing xpayh bad people good people show solution
2022-11-12 08:22:18+00:00,Amisaha8,"GDP goes up, but the cost of living is higher. The price of the goods goes up, the staple food is high. Who benefits from all this GDP goes up? Serious doesn't understand.",Kuala Lumpur,gdp go cost living higher price good go staple food high benefit gdp go serious doesnt understand
2022-11-10 07:16:36+00:00,syahredzanTEAM,"While distributing brochures at the Prima Cempaka apartment, @syahredzan met many mothers and housewives. These people who manage home expenses average say that the price of goods rising is a major issue for them. https://t.co/5xgysgbu6q","Kajang, Selangor",distributing brochure prima cempaka apartment met many mother housewife people manage home expense average say price good rising major issue
2022-11-09 18:02:58+00:00,AbangAirul,@_amiraaisya hooked ape tue ?? RM1500 pn employer to pay this RM2700 ?? Abistu salary rising prices of goods x goes up? The promise of a grandma is angry with grandchildren sume owg bole bai .. not the power of lahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh X realistic! Damn it for the sake of voting 😂,"Gombak, Selangor",hooked ape tue rm pn employer pay rm abistu salary rising price good x go promise grandma angry grandchild sume owg bole bai power lahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh x realistic damn sake voting
2022-11-09 01:48:54+00:00,keywai_,@ihx_kimilol huhu prices of Malaysian goods go up. In line with inflation,Singapore,huhu price malaysian good go line inflation
2022-11-08 13:34:21+00:00,MykiRedd,Haaaa takyah. Of course the price of goods goes up. Acaner tu? If this politician does & amp; Approve you can spend that money. I don't want to get out. If you don't.,Firdaus.,haaaa takyah course price good go acaner tu politician amp approve spend money dont want get dont
2022-11-08 07:49:44+00:00,Zaki_Yamani_,"@Sbtang_ @klutzykucing after removing the EPF, the price of goods goes up again ... because the national government is not in control.

Rich daily 5 years.",,removing epf price good go national government control rich daily year
2022-11-08 00:41:29+00:00,faraanadiyot,"From telling you to remove the EPF well, think about how to lower the price of raw goods kitchen items. go up to the kaw tue unless the harness does not go down the market or supermarket day2 😌",kotarayaku,telling remove epf well think lower price raw good kitchen item go kaw tue unless harness go market supermarket day
2022-11-07 11:14:13+00:00,kamilmunim,"This sudden increase is due to rising prices of food and other livestock costs.

The misery of these breeders will achieve the end of the government's accountability to ensure the welfare of these breeders.",Padang Rengas,sudden increase due rising price food livestock cost misery breeder achieve end government accountability ensure welfare breeder
2022-11-07 11:14:12+00:00,kamilmunim,"The increase in prices of goods also has a huge impact on these breeders. In the past, a goat was available for RM 800.

Within one year the cost of goods has increased and now, a goat can reach RM 1200 to RM 1500.",Padang Rengas,increase price good also huge impact breeder past goat available rm within one year cost good increased goat reach rm rm
2022-11-07 01:20:17+00:00,seketulrozita,"Because I'm a hardcore buyer. But don't pay the salary up, the price of the goods goes up. Same jugek",,im hardcore buyer dont pay salary price good go jugek
2022-11-06 03:24:17+00:00,rajabahrinshah,"Many of the complaints are actually faced by the people in silence.

The price of goods goes up, the cost of service costs goes up, not to mention the basic ingredients of food such as eggs are also rising and difficult to find! https://t.co/sdf2ev89kg","Kuala Terengganu, Terengganu",many complaint actually faced people silence price good go cost service cost go mention basic ingredient food egg also rising difficult find
2022-11-05 04:22:05+00:00,an_tapot,"Oil is the same as rhinoceros 1 (one) alias limited edition, all the burden on the people's shoulders rise to the people in the people, the rare frame of people should also be difficult.
Justice Oh Justice","Maluku, Indonesia",oil rhinoceros one alias limited edition burden people shoulder rise people people rare frame people also difficult justice oh justice
2022-11-04 06:33:24+00:00,shafwanshukor,"When I met my aunt/uncle or a motorcycle boy said that Najib had a lot of money, I was honest with diaorg. Najib cut a lot of crazy subsidies after covering with a one -time brim. Then Yilek. The price of goods continues to rise. La PH's fate went up that day, back in subsidies.",malaysia,met auntuncle motorcycle boy said najib lot money honest diaorg najib cut lot crazy subsidy covering one time brim yilek price good continues rise la ph fate went day back subsidy
2022-11-03 09:27:30+00:00,Thiban_ben,"OPR goes up again ...
The price of goods goes up again ...
Salary also does not rise 🥺🥺🥺

Reject items up = Push the Nasioanal Front !!! https://t.co/mmkisfcjv2",Bestari Jaya (Batang Berjuntai,opr go price good go salary also rise reject item push nasioanal front
2022-11-03 08:54:52+00:00,MrLucond,In addition to kitchen prices. The price of the government is worth the attention of the jugop to play every year. Salary rose 100yal fee rose 150. pension jugop to this monkey,"Kemaman, Terengganu",addition kitchen price price government worth attention jugop play every year salary rose yal fee rose pension jugop monkey
2022-11-03 05:26:29+00:00,RmdhnJava,@Sangkulrimbas @bro_jamal7 @akmalnasir prices rise not because of BN or PH. If PH wins the price will not go down. Better using other strategies.,Pasir Gudang,price rise bn ph ph win price go better using strategy
2022-11-02 15:30:32+00:00,Le_D3ll,"Group block I have the price of the goods up, but when the news about the blue flag is concentrated, he quickly shares it ready to go together. Hi. It's hard to realize that people are here.","Putrajaya, Wilayah Persekutuan",group block price good news blue flag concentrated quickly share ready go together hi hard realize people
2022-11-02 14:22:25+00:00,Angkut_,@isusemasaviral this malaysia .... go up the ingredients to raise food ... get down raw items .. all blind ... aaa ... aaa go up again up the new price of the past ... the Malaysian way,langit nan biru.,malaysia go ingredient raise food get raw item blind aaa aaa go new price past malaysian way
2022-11-02 02:49:14+00:00,putuprdnya,@Ladizillaa The average price of the goods in Sulawesi is almost 2x Java. Ride a thousand kayaks GA feels here wkwk,"Bandung, Jawa Barat",average price good sulawesi almost x java ride thousand kayak ga feel wkwk
2022-11-02 00:22:07+00:00,nazatol,"What is inflation?

The increase in prices of goods and services in our economy. If we used to buy 60 cents fat rice. It's been RM1.80 now.

The disadvantage is that our currency value is smaller.",Kuala Lumpur Federal Territory,inflation increase price good service economy used buy cent fat rice rm disadvantage currency value smaller
2022-11-01 10:39:17+00:00,g24GolkarMaluku,"""What can we do!"" Or ""What do we can?""

So this is why if BBM goes up, the price of goods goes up. Hope we can go through it together. Watch this video.
#bbmnaik #bbm #subsiditepat #golk24
#g24 #jusufkalla #golkar #indonesia #gozarmaluku #maluku https://t.co/k0kzvo1pby",,bbm go price good go hope go together watch video
2022-11-01 07:38:19+00:00,luq_hakim666,@suarake justice99 The price of the price of goods is not a good solution. The right grinning system and a good subsidy are good.,,justice price price good good solution right grinning system good subsidy good
2022-10-30 21:45:01+00:00,96mdpl,"12 Ewu, Umr Surabaya
Sleman Wes 16 Ewu,
Nek Sing Sambat, Umr goes up, prices of goods, commodities and food will go up, by Idoni Wae Kui Sing gi pioneering bakulan. Maruk e Koyo Sing Gawe Rules 🙃
Reti Reti Young Chief Mobile Furtuner Salary Employees Ra Umr 🤣","Sleman, Indonesia",ewu umr surabaya sleman wes ewu nek sing sambat umr go price good commodity food go idoni wae kui sing gi pioneering bakulan maruk e koyo sing gawe rule reti reti young chief mobile furtuner salary employee ra umr
2022-10-30 06:50:32+00:00,Fitri_Nizam,GE15 is yours. The price of the goods goes up mcm to the point of the first Promise of the GE15 priority #barangnaik https://t.co/qwll7bprfx,Malaysia,ge price good go mcm point first promise ge priority
2022-10-29 10:46:54+00:00,mshafizal_s,@Zahidazk malaysia is sick as a corruption. With the Skrang government legalizing corruption. All ministers are crazy. The education of Malaysian children is back. The price of goods goes up.,"Selangor, Malaysia",malaysia sick corruption skrang government legalizing corruption minister crazy education malaysian child back price good go
2022-10-25 22:01:04+00:00,GhazaliResab,PH Damn the country's taxation system just to win the GE14 Anti -GST campaign supposedly the price of goods rising SST now prices of goods go up worse PH,,ph damn country taxation system win ge anti gst campaign supposedly price good rising sst price good go worse ph
2022-10-25 16:20:40+00:00,nikuvekuniaki,"I am proud to have Malaysian citizenship. Malaysian ringgit is plummeting. 1 USD = RM4.74 cents, 5G Coordination takes 10 years for the whole of Malaysia. The salary goes up at a minimum, at the same time, the price of goods goes up. Conclusion, the same. What's our pride? https://t.co/3cafxzlnh1",Kuala Lumpur City,proud malaysian citizenship malaysian ringgit plummeting usd rm cent g coordination take year whole malaysia salary go minimum time price good go conclusion whats pride
2022-10-25 11:06:27+00:00,Mohdfaiz13,@lady_bugg11 GST has been 4 years old as well as the price goes up too 😝,"Shah Alam, Selangor",gst year old well price go
2022-10-24 12:00:23+00:00,painadoll,"The price of the whole goods goes up every year, but the rate of pay is the dock.",Somewhere anywhere,price whole good go every year rate pay dock
2022-10-24 00:03:56+00:00,ZainalAzmanNS,"Both of these suggestions are populist proposals. Not strategic and impact on the people. Let's not be fooled by the populist suggestions. Callers need to present strategic suggestions. For example, how to control the price increase. Control the fall of the ringgit, etc.",Malaysia,suggestion populist proposal strategic impact people let fooled populist suggestion caller need present strategic suggestion example control price increase control fall ringgit etc
2022-10-22 06:17:49+00:00,haiqal_ashraff,@Naufalvsthewrld @saiwar88 @jaz_jedi can you know what price is up? I mean noticeable,"ipoh,perak",know price mean noticeable
2022-10-21 05:10:09+00:00,izzatarsat,@ahmadmaslan jokes too ... umno holds things up suddenly ... ko tgk sabah sarawak like xde food price control near here ... xperlu tgk promises .... not whole how to solve the problem of the people,somewhere,joke umno hold thing suddenly ko tgk sabah sarawak like xde food price control near xperlu tgk promise whole solve problem people
2022-10-20 14:58:57+00:00,sufyanmoyo,Mcm stupid buy rm10 paste mark up sell rm30-50..the own for can but time the price of the market is rising to know the noise ..,,mcm stupid buy rm paste mark sell rmthe time price market rising know noise
2022-10-20 01:30:48+00:00,emmnh_,@prjmldn hahahaha ye wehh. All kitchen items are rising in the price. I spent time with the child after I returned to the nanny's house. I started preparing goods at 9 o'clock. The rest of his dad's handle,Malaysia,hahahaha ye wehh kitchen item rising price spent time child returned nanny house started preparing good oclock rest dad handle
2022-10-19 10:50:23+00:00,IsmanTengku,"The highest pressure comes from energy prices rising to 40.7% yoy, followed by food, alcohol, and tobacco by 11.8% yoy; 4.3% yoy service, and non -energy industrial goods of 11.8% yoy. https://t.co/lknr0dejmy",Jakarta,highest pressure come energy price rising yoy followed food alcohol tobacco yoy yoy service non energy industrial good yoy
2022-10-18 09:25:09+00:00,dblega1n,"In this world 2 things go up in silence
1. The price of goods
2. That thing",Malaysia,world thing go silence price good thing
2022-10-18 05:50:41+00:00,GhazaliResab,Poverty due to rising prices of goods and commodities is too fast while household income buying households and people's income is still low or not governing,,poverty due rising price good commodity fast household income buying household people income still low governing
2022-10-18 05:06:38+00:00,faizah86,"Wheat flour-based items, plans to go up.
Start a viral gardenia bread.
But the other brand goes up too, but no one wants to cover the story.
Brands don't even rise in the price.","Selangor, Malaysia",wheat flourbased item plan go start viral gardenia bread brand go one want cover story brand dont even rise price
2022-10-18 00:10:58+00:00,itsnafizmydude,Rarely if the price of goods goes up there is a sound siren,"Sumeru, Teyvat",rarely price good go sound siren
2022-10-17 01:08:34+00:00,Ziyesh,"After 13 years since the day one I entered the rental house, he raised RM150 from RM500. Its okay, understand that the price of the goods is rising here and there. The owner is good.","Subang Jaya, Malaysia",year since day one entered rental house raised rm rm okay understand price good rising owner good
2022-10-16 04:47:10+00:00,OkinaFitto,"@Injang_nation hahaha ... it is said to be up to the development of all the price of all the prices 🤣 silly nk ckp .. not even the skyscrapers, but that's ... mentality ...","Perak, Malaysia",hahaha said development price price silly nk ckp even skyscraper thats mentality
2022-10-13 10:03:20+00:00,Mohdfaiz13,@armanamin330 @teshkumarsangar if that is how the price of goods goes up and your own business,"Shah Alam, Selangor",price good go business
2022-10-10 06:10:15+00:00,mraafiz,"""The government of the roof""
“The government doesn't help people. The price of goods goes up! ”
“The government failed! RM is falling out ”

Once upon a time to dissolve the praise of the PM and the government. Everyone is shaking. 🤣

Are you kidding me?",Kuala Lumpur City,government roof government doesnt help people price good go government failed rm falling upon time dissolve praise pm government everyone shaking kidding
2022-10-09 11:30:05+00:00,kumuhaimin11,When you have a lot of customers and not enough. Please go up the price so you can deliver it for the right person to pay for your premium goods only.,Hidden Village of Rain,lot customer enough please go price deliver right person pay premium good
2022-10-06 13:35:20+00:00,pelajaresah,"The price of the goods should be rising so the fans/buyers are quiet. Lhoo kok prices rise even more and more long. Strangely GK, it is the sign of the Bensin purchase consuming as it has increased with antrian spike every day and continues to fill the binsin",pluviophile,price good rising fansbuyers quiet lhoo kok price rise even long strangely gk sign bensin purchase consuming increased antrian spike every day continues fill binsin
2022-10-05 05:34:34+00:00,notalep,"Now the minimum wage is the point, but the price of goods is rising as well","Kuala Selangor, Selangor",minimum wage point price good rising well
2022-10-05 01:19:15+00:00,AzmamDatu,"Yes we as civil servants of the implementing/support group apply for a 1-19 grade pay review because of the burdensome and affected tasks as a result of rising prices and many others do not have their own home, we will change the government now to the new government waiting for GE15",Singapore,yes civil servant implementingsupport group apply grade pay review burdensome affected task result rising price many others home change government new government waiting ge
2022-10-04 14:31:31+00:00,emmnh_,"It is a bit impressed by the increase in prices of goods. Expenses of kitchen money are running out of things and many things are trying to save. I don't know, I can't survive. 🥲",Malaysia,bit impressed increase price good expense kitchen money running thing many thing trying save dont know cant survive
2022-10-01 04:11:30+00:00,KakchikAshaKC,"The noise of the people is in debt. The problem is that the cost of living is increasing.

The prices of goods are rising.

The salary is like a pork snail. Lambetttt again.",Malaysia,noise people debt problem cost living increasing price good rising salary like pork snail lambetttt
2022-09-30 03:05:16+00:00,NikShariff92,The price of goods goes up 50sen or a lingerie. This is mostly the items that always buy 3 to 5 dollars are impressed,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",price good go sen lingerie mostly item always buy dollar impressed
2022-09-29 14:56:19+00:00,MiaHakucho,"The basic items that always buy for help are not basic things, mcm luxury goods. Sardin is rm7/+ setin. Oil of course goes up price, what else? Milk takyah talk. I feel like I need help now.",Malaysia,basic item always buy help basic thing mcm luxury good sardin rm setin oil course go price else milk takyah talk feel like need help
2022-09-29 09:31:42+00:00,wearing3plemask,"Laici water is now RM 5. Redha je la. God determines the price of goods.

Seriously, this authentic hadith does not know. But .........

Please read the description, meaning, because of that hadith. The explanation is clear from the Perlis Mufti.

The price of the goods went up in the time of the prophet.",,laici water rm redha je la god determines price good seriously authentic hadith know please read description meaning hadith explanation clear perlis mufti price good went time prophet
2022-09-28 13:09:10+00:00,amer__aljeffrey,It must be the Malay barking. It's weird that our people. Want to eat tasty but cheap. Bodo.When the price of raw goods is now rising?,"Kerteh, Terengganu",must malay barking weird people want eat tasty cheap bodowhen price raw good rising
2022-09-28 04:31:17+00:00,jimmypuah,Opposition Leader @anwaribrahim's letter to PM @IsmailSabri60 for the National Economic Issues. It is important that the price of goods goes up and the ringgit declines. If Ismail x is willing for the route to DSAI. 😉 https://t.co/ocvw2q3cvc,Johor Bahru,opposition leader letter pm national economic issue important price good go ringgit decline ismail x willing route dsai
2022-09-27 10:08:39+00:00,FadzlynH,"OPR has increased again! The price of a bottle of cooking oil is over RM30 for 5kg .. The basic items are starting to go up.

Happy to give up your life ??","Seremban, Negeri Sembilan",opr increased price bottle cooking oil rm kg basic item starting go happy give life
2022-09-27 09:34:05+00:00,iambenfirdaus,"@Dopezzz hahahaha pnc la. Tpi sinb project ni took too long so frankly speaki g see no loss there. With the holidays, covid la, the price of goods is up. Mcm mxm",,hahahaha pnc la tpi sinb project ni took long frankly speaki g see loss holiday covid la price good mcm mxm
2022-09-26 04:10:50+00:00,Nik_Natasya,"@Bulletintv3 is out of the low private salary, it has to be 6 days of plaque ... any benefit xde ... the end of the plaque is a negative payday, saving xde ... rent rent, the price of the goods is rising. ..mcm where is the plaque?","Ampang, Wilayah Persekutuan Ku",low private salary day plaque benefit xde end plaque negative payday saving xde rent rent price good rising mcm plaque
2022-09-23 03:07:56+00:00,paedrazip,X is done buying a house. Know x average salary everyone can be b40! Go up to the pounds will still be b40 if you can control the price of the goods and more.,johor bahru malaysia,x done buying house know x average salary everyone b go pound still b control price good
2022-09-21 23:03:41+00:00,KangSemproel,"@J4ck_pipp0 @Putraerlangga95 Toll Tarif will be in the event of a cost of distribution ...
https://t.co/bs6nfoeqmq","Abu Nouas, Baghdad, Iraq",toll tarif event cost distribution
2022-09-21 05:59:55+00:00,Cakraax97,"@Inisleman Pie Pie Tetp TetiT Min, Still Mending Price Rise But It Is Staying, Ga Baby Has It Prices GhoiB Like Palm Palm",,pie pie tetp tetit min still mending price rise staying ga baby price ghoib like palm palm
2022-09-21 00:11:41+00:00,MariatiSalleh,"@emdqa @_rezarazali_ @joharijamaludi2 ehh good chicken, cheap oil pH, price of goods goes up ms time",,ehh good chicken cheap oil ph price good go m time
2022-09-20 01:35:01+00:00,haf_lida,"@muhdfirzuan grabbed, when he was in his place, all the items went up. Irreleased",,grabbed place item went irreleased
2022-09-18 06:11:39+00:00,PakDeris1908,You all want to blame the price of the goods up .. talk to find more https://t.co/bpbangyeje,"Pahang, Malaysia",want blame price good talk find
2022-09-17 02:46:57+00:00,Kulinerbocah,"@chanzyeolk @_dauph1ne_ @03__nakula @ants2semut @tolakbigotnkri @007koteka @uki23 woi, Jan nandain My account is ranked, tomorrow is in my account again, again the price of goods goes up,","Sidoarjo, Indonesia",woi jan nandain account ranked tomorrow account price good go
2022-09-16 23:07:22+00:00,BudimanKayun,"The reason is that when the goods are not available then the price tends to rise. In fact, the combination of maintaining the availability of tree and fuel is an important key to constructing this government's policy.

#Iknsejiahanakanindonesia
#Iknpeconomic equality
#It's upgrading the well -being","Konawe Selatan, Sulawesi Tengg",reason good available price tends rise fact combination maintaining availability tree fuel important key constructing government policy equality upgrading well
2022-09-16 11:48:34+00:00,senenjayamall,"Want to look stylish without panic when fuel prices go up?

Thrifting the answer!

3 Reasons Thrifiting is still a ""Worth to buy"" item to make you look stylish without fear of cancer!

A thread.",,want look stylish without panic fuel price go thrifting answer reason thrifiting still worth buy item make look stylish without fear cancer thread
2022-09-16 10:15:18+00:00,Hunnyryne,"It's not easy for me to save in the rise in prices of goods, high costs etc because of our self -awareness, please eat salaries. So, if you do not save the loss of money it will flow anywhere.",Kuala Lumpur,easy save rise price good high cost etc self awareness please eat salary save loss money flow anywhere
2022-09-15 07:57:48+00:00,BanawiP,"The price of the gain needs to be monitored by the government. The availability of goods also needs to be determined. The reason is that prices tend to rise if the goods are not available.
#Buttan
""
#Subsiditepatsusarked","Sulawesi Tenggara, Indonesia",price gain need monitored government availability good also need determined reason price tend rise good available
2022-09-15 01:37:38+00:00,yunjitaaa,"Since the BBM goes up, Ongkir in the expensive ecommers has not been consumed. ESP Toped, Ongkir can be more expensive than the price of goods, but it is still a Javanese area. It used to be toped.",,since bbm go ongkir expensive ecommers consumed esp toped ongkir expensive price good still javanese area used toped
